BOGOTA D.C.;BOGOTA D.C.;LIC LA SABANA                                                                                       ;KR 59 173 25;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES FRANCES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL LA ESPERANZA DEL MANANA                                                                         ;CL 128 A 92 22;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA TARDE;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL CIAL VILLA MARIA                                                                                ;CL 139 A 111 04;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC KURT LEWIN                                                                                      ;CL 128 B 41 24;MIXTO;PREESCOLAR  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL LORISMA                                                                                         ;KR 46 144 54;MIXTO;PREESCOLAR  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL BLAISE PASCAL                                                                                   ;CR. 114 NO. 152B-51;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;FRANCES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC MALLERLAND                                                                                      ;KR 107 140 A 79;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO CAMPESTRE DE GUILFORD;KM 7 VIA SUBA-COTA VDA CHORRILLOS;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;B
BOGOTA D.C.;BOGOTA D.C.;LIC INTEGRAL COLOMBIA ACTIVA                                                                        ;CLL. 129B NO.104D-55;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC INF RETONINOS                                                                                   ;KR 101 A 135 A 03;MIXTO;PREESCOLAR  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO PSICOPEDAGOGICO NICOLAS STEMBERG;KR 94 C ESTE 147 A 68;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;FRANCES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL JOSE JOAQUIN CASTRO MARTINEZ                                                                    ;IND AV. CORPAS KM. 3 TUNA BAJA SUBA;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC ECOLOGICO DEL NORTE                                                                             ;CR. 98A NO.156D-26;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL SANTA ISABEL DE HUNGRIA                                                                         ;KR 60 165 10;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL LA COLINA                                                                                       ;KR 68 145 80;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;B
BOGOTA D.C.;BOGOTA D.C.;COL. INTERNACIONAL DE EDUCACION INTEGRAL - CIEDI LTDA.;KM 3 VIA SUBA COTA;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;B
BOGOTA D.C.;BOGOTA D.C.;LIC DE LONDRES                                                                                      ;CLL. 145 NO. 57-79;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
